	여의나루	352	353	0
	마포	372	333	0
	공덕	386	319	0
	애오개	386	298	3
	서대문	387	229	0
	광화문	409	209	0
	청구	559	289	0
	신금호	579	290	0
	행당	597	290	0
	마장	649	290	0
	답십리	673	290	0
	장한평	693	290	0
	군자	717	290	0
	아차산	760	290	0
	광나루	786	312	0
	천호	823	346	0
	강동	868	349	0
	둔촌	870	378	3
	올림픽공원	871	406	3
	방이	871	435	1
	오금	885	457	1
	개농	903	473	1
	거여	919	488	1
	마천	936	503	1
	길동	887	333	0
	굽은다리	905	316	0
	명일	923	301	0
	고덕	941	284	2
	상일동	959	268	0
	봉화산	779	137	0
	화랑대	748	137	0
	태릉입구	716	137	0
	돌곶이	655	137	0
	상월곡	635	138	0
	월곡	619	152	0
	고려대	604	168	0
	안암	589	181	0
	보문	574	196	0
	창신	560	210	2
	동묘앞	560	231	0
	버티고개	517	329	0
	한강진	500	343	0
	이태원	479	343	0
	녹사평	463	343	0
	효창공원	399	332	0
	대흥	364	316	0
	광흥창	346	316	0
	상수	326	317	0
	망원	284	298	1
	마포구청	264	280	1
	월드컵경기장	264	258	2
	수색	264	235	2
	증산	264	214	2
	새절	264	193	0
	응암	280	177	0
	구산	300	158	0
	독바위	345	142	0
	역촌	307	179	0
	천왕	153	460	4
	광명	169	473	0
	철산	192	474	0
	남구로	239	451	0
	신풍	285	431	0
	보라매	308	432	0
	신대방삼거리	330	432	0
	장승베기	354	432	0
	상도	376	432	0
	숭실대입구	397	434	2
	남성	416	451	1
	내방	489	467	0
	반포	540	423	0
	논현	569	400	0
	학동	599	399	0
	강남구청	628	399	0
	청담	657	394	0
	뚝섬유원지	691	364	0
	어린이대공원	716	312	3
	중곡	716	269	3
	용마산	716	250	3
	사가정	716	233	3
	면목	716	215	3
	상봉	716	197	3
	중화	716	178	3
	먹골	716	160	3
	공릉	716	113	1
	하계	702	99	1
	중계	685	85	1
	마들	642	50	1
	수락산	573	50	0
	장암	485	49	0
	수진	891	619	0
	신흥	927	617	0
	단대오거리	929	592	1
	남한산성입구	906	570	1
	산성	882	550	1
	장지	852	496	1
	문정	833	477	1
	가락시장	815	460	1
	송파	796	442	1
	석촌	777	426	1
	몽촌토성	779	385	0
	강동구청	798	368	0
	암사	845	326	0
	0	0		

				
